"Project","Item Type","Title","Description","Assigned To","Status","% Complete","Priority","ID","Modified","Created By","Modified By","Attachments"
,"Task","Work Items Tracker",,"Jed Ortega","In Progress","90%",,"1","5/15/2026 3:48 AM","Jed Ortega","Jed Ortega","0"
,"Task","RAID Log",,"Jed Ortega","Completed","100%",,"2","3/30/2026 9:19 AM","Jed Ortega","Jed Ortega","0"
,"Task","In the Works Button",,"Jed Ortega","Completed","100%",,"3","5/15/2026 3:48 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Question/Decision","English updates completed","Are the English updates complete and ready for French translation? This includes screenshots, UI terms, procedure steps, navigation paths, links, and Markdown cleanup<br>","Claude Trono","Completed","100%",,"4","5/15/2026 7:50 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Question/Decision","French-specific DLH/Zoomin requirements ","<div style=""font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><div style=""""><font face=""Aptos, sans-serif""><span style=""font-size&#58;11pt;"">Are there any French-specific DLH/Zoomin requirements we need to account for, such as locale codes, metadata, search/indexing behavior, fallback behavior, screenshot handling, or validation steps?</span><br></font></div><br></div>","Claude Trono","Completed","100%",,"5","5/15/2026 7:50 AM","Jed Ortega","Jed Ortega","0"
"ArchiSnapper Translation Needs","Question/Decision","French reviewer or French-speaking resource available","<div style=""font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><div style=""""><font face=""Aptos, sans-serif""><span style=""font-size&#58;11pt;"">Is there a French reviewer or French-speaking resource available? AI can help with the first draft and QA, but since this is customer-facing help, it would be safer to have at least a light French review for the glossary, UI terms, high-priority articles, and screenshot-heavy procedures.</span><br></font></div><br></div>","Claude Trono","Completed","100%",,"6","5/15/2026 7:50 AM","Jed Ortega","Jed Ortega","0"
"Smartsheet to MS List (DLH Request Forms)","Task","Convert Deltek Learning Hub Platform Issues Smartsheet form to MS List",,"Mon Blaza","Completed","100%","High","7","5/1/2026 4:08 PM","Mon Blaza","Mon Blaza","0"
"Smartsheet to MS List (DLH Request Forms)","Task","Convert Deltek Learning Hub Feedback and Enhancement Requests Smartsheet form to MS List",,"Mon Blaza","Completed","100%","High","8","5/1/2026 4:09 PM","Mon Blaza","Mon Blaza","0"
"Smartsheet to MS List (DLH Request Forms)","Task","Convert DLH Content Change & Upload Request Smartsheet form to MS List",,"Mon Blaza","Completed","100%","High","9","5/1/2026 4:10 PM","Mon Blaza","Mon Blaza","0"
"Smartsheet to MS List (DLH Request Forms)","Task","Automate Sending of Notifications During Entry Submission","As part of this task, Mon Blaza met with the DLH Admin Team (Fifi Dayrit, Matt Briggs, and Anna Dixon) to finalize the automation requirements in preparation for the official rollout.","Mon Blaza","Completed","100%","High","10","5/8/2026 1:48 AM","Mon Blaza","Mon Blaza","0"
"Smartsheet to MS List (DLH Request Forms)","Task","Finalize the New Setup and Endorse Them to the DLH Admin Team for Official Rollout Announcement",,"Mon Blaza","Completed","100%","High","11","5/8/2026 1:46 AM","Mon Blaza","Mon Blaza","0"
