"Title","Description","Link","Image","Changelog","Video","Guide/Documentation","Innovation Expert/Partner","Solution Type","ID","Created","Created By","Modified By"
"Agent for IAG Feature Spotlights ","This agent takes release notes / feature-focused notes and generates concise, benefit-driven in-app messages. This eliminates the storyboarding process altogether. The link below will allow you to add the agent. 

Demo Video: https://delteko365-my.sharepoint.com/:v:/r/personal/elainestott_deltek_com/Documents/Recordings/CLX%20AI%20Workshop-20250925_090208-Meeting%20Recording.mp4?csf=1&web=1&e=qXC0sk&nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJTdHJlYW1XZWJBcHAiLCJyZWZlcnJhbFZpZXciOiJTaGFyZURpYWxvZy1MaW5rIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXcifSwicGxheWJhY2tPcHRpb25zIjp7InN0YXJ0VGltZUluU2Vjb25kcyI6MTg0LjMyfX0%3D","https://m365.cloud.microsoft/chat/?titleId=T_9fde783f-40bb-3da1-7f13-e6aab90773a5","Reserved_ImageAttachment_[5]_[Image][32]_[f144d59979d749b2accbf5eb66d88280][1]_[5].png",,,,,"Copilot Agent","1","9/18/2025 3:41 PM","Mon Blaza","Mon Blaza"
"Career Coach AI: Individual Development Plan (IDP) Creation Framework","When to use: 
Annual IDP planning with manager alignment. 

Input: 
- Roles Progression Guide
- MBTI results
- previous IDP/self-assessment
- CLX 2025 Strategy

Output: 
- Draft IDP including SMART goals, actions (70/20/10 mix), measures, and check-ins.","https://learning.deltek.com/bundle/AI-Prompt-Library/page/AIPromptLibrary.html#career_coach_ai_individual_development_plan_idp_creation_framework","Reserved_ImageAttachment_[5]_[Image][32]_[ee52308892f54b819d48a2b34b5e90a9][1]_[2].png",,,,,"Copilot Agent","3","9/18/2025 10:58 PM","Bert Niverba","Mon Blaza"
"ROCH360 (Markdown Builder)","This custom-built tool, generated with the aid of Claude Code, streamlines the development of Markdown content and packaging this content for DLH consumption; therefore, accelerating CLX content development processes.

Demo Video: https://delteko365-my.sharepoint.com/personal/rochelledomingo_deltek_com/_layouts/15/stream.aspx?id=%2Fpersonal%2Frochelledomingo%5Fdeltek%5Fcom%2FDocuments%2FRecordings%2FMarkdown%20Builder%20Demo%2D20250722%5F011009%2DMeeting%20Recording%2Emp4&ga=1&referrer=StreamWebApp%2EWeb&referrerScenario=AddressBarCopied%2Eview%2E3ba5ff8d%2D3876%2D4c83%2D896d%2D73a903fb6166","https://devkit.deltek.com/devkitchen/assetBuilder/builder","Reserved_ImageAttachment_[5]_[Image][32]_[d8154931f07647d5af4322ea7fbb1836][1]_[8].png",,,,,"Authoring Tool","5","10/3/2025 1:48 AM","Mon Blaza","Mon Blaza"
"RoboHelp-to-Markdown Converter","A toolkit for converting RoboHelp topics to Markdown, generating a TOC, applying product taxonomy, and delivering a bundle for the Deltek Learning Hub.

For information about the step-by-step workflow on how to use the toolkit, see https://delteko365.sharepoint.com/sites/CustomerLearningExperience/SitePages/How-to-Convert-RoboHelp-Projects-to-Markdown-Bundles-for-Zoomin-Upload.aspx.","https://delteko365.sharepoint.com/:u:/s/Zoomin/Eb_oRZJr8vJElzuH1MZfU-0BiTlLg0o20QDusB2RlvrjdQ?e=uw1epg","Reserved_ImageAttachment_[5]_[Image][32]_[a536acc0b7a743c6bd362c8a9a98f745][1]_[1].png",,,,,"Automation","6","10/3/2025 2:17 AM","Mon Blaza","Mon Blaza"
"CLX Innovation Center SharePoint Site","The official one-stop-shop for information about all innovation efforts happening within the Customer Learning Experience (CLX) group.

One of the solutions that came out of our CLX Innovation Hackathon event, the CLX Innovation Center SharePoint site aims to ""provide full transparency on everything we're doing with AI and automation."" ","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/SitePages/CLX-Innovation-Center.aspx","Reserved_ImageAttachment_[5]_[Image][32]_[00b7b6f7451c459ba0cfece1bf7cd59c][1]_[3].png",,,,,"SharePoint Site","7","10/9/2025 11:26 AM","Mon Blaza","Mon Blaza"
"Release Notes GenAI Tool","This tool aims to reduce the editorial hours spent on RN descriptions by 100%.

By using the Azure OpenAI Service available within Deltek’s Azure DevOps (ADO) platform, this plug-in tool enables anyone from each product engineering group who has access to ADO projects to use generative AI technology to edit RN descriptions directly from their projects' work items.

To access the tool:
1. From Deltek's ADO/TFS instance, open a project's work item (such as Feature, PBI, or Bug).
2. Click More actions (...).
3. Select Generate Edited Description.","https://tfs.deltek.com/tfs/Deltek/","Reserved_ImageAttachment_[5]_[Image][32]_[e32c435ef86941798cc072678690f8c7][1]_[1].png",,,,,"GenAI Plug-in for ADO/TFS","8","10/19/2025 10:22 PM","Mon Blaza","Mon Blaza"
"User Story and Acceptance Criteria GenAI Tool","This tool is designed to streamline the creation of clear, concise, and consistent Agile documentation across product engineering teams.

By leveraging the Azure OpenAI Service integrated within Deltek’s Azure DevOps (ADO) platform, this plug-in tool enables any team member with access to ADO projects to generate or enhance user stories and acceptance criteria directly within their work items.

This tool aligns with Agile@Deltek principles by helping reduce manual effort and promoting clarity, consistency, and efficiency across the software development lifecycle. It is designed to benefit not only writers, but also product managers, developers, QA engineers, and other stakeholders involved in product delivery.

To access the tool:
1. From Deltek's ADO/TFS instance, open a project's work item (such as Feature or PBI).
2. Click More actions (...).
3. Select Generate Acceptance Criteria.","https://tfs.deltek.com/tfs/Deltek/","Reserved_ImageAttachment_[5]_[Image][32]_[914adf39915c4b66aef9c49c56c71d1b][1]_[1].png",,,,,"GenAI Plug-in for ADO/TFS","9","10/19/2025 10:48 PM","Mon Blaza","Mon Blaza"
"Costpoint Summary Excel Listing Generator","This tool aims to streamline the creation of a Maintenance Release Summary Excel reports from TFS query data. 

To generate Excel reports:
1. Download the generator .exe file.
2. Export a Costpoint maintenance release query from TFS in CSV format and save it locally.
3. Run the executable:
    a. Double-click the executable to open it.
    b. When prompted, enter the version number and click Generate Excel.
    c. Select the CSV file containing the MR query data.","https://delteko365.sharepoint.com/:u:/s/CDSInnovationCenter/EZA7nICJxTREgs_no1W1mYUB57Tc8sxL_Pa0QZeOdx0txg?e=UPJ9Ue","Reserved_ImageAttachment_[5]_[Image][32]_[4aed8211f3a44f6e856ea14058887f5b][1]_[1].png",,,,,"Automation","10","10/19/2025 11:17 PM","Mon Blaza","Mon Blaza"
"Release Notes Python Script","This tool aims to automate the generation of release notes and works hand-in-hand with the Release Notes GenAI tool.",,"Reserved_ImageAttachment_[5]_[Image][32]_[dd4e81c843014f0c8a959604193608a7][1]_[1].png","<b>December 2025</b> - Updated to&#160;<span style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;text-align&#58;left;background-color&#58;rgb(255, 255, 255);display&#58;inline !important;"">generate another type of output, Markdown, in support of our Shift to Markdown initiative.</span>",,,"Sylvia Siguenza;Claude Trono","Automation","11","10/19/2025 11:27 PM","Mon Blaza","Jed Ortega"
"Word-to-Markdown Converter","A toolkit for converting Word documents to Markdown so they can be easily ingested and consumable via the Deltek Learning Hub.

For information about the step-by-step workflow on how to use the toolkit, see https://delteko365.sharepoint.com/sites/CustomerLearningExperience/SitePages/How-to-Convert-Word-Documents-to-Markdown-Bundles-for-Zoomin-Upload.aspx","https://devkit.deltek.com/word-to-markdown-converter/","Reserved_ImageAttachment_[5]_[Image][32]_[b8d48252c1374b0aa9338320e4edbe85][1]_[1].png",,,,,"Automation","12","10/20/2025 6:42 AM","Mon Blaza","Mon Blaza"
"Transcript Cleaner","This agent helps correct spelling discrepancies and adds necessary punctuation to transcribed text from a voice recording for Deltek software. It includes UI screen names, URLs, and unclear parts examples with instructions for URL handling, voice recording context, and iterating on unclear parts for clarity and usability.

(aka Transcript Cleaner Agent)","https://m365.cloud.microsoft/chat/?titleId=T_316c99d5-cf36-3943-584b-ef936037dbdb&source=agentCenterDialog","Reserved_ImageAttachment_[5]_[Image][32]_[0e93d4977cbc4f22a13b92b5adc0c359][1]_[4].png","<b>&gt;&gt;</b> Renamed for clarity, previously Deltek Proofreader",,,"Bert Niverba","Copilot Agent","13","11/12/2025 7:47 PM","Mon Blaza","Jed Ortega"
"Multiple Video Stitching and JSON TOC File Creation for ROCH360 (Markdown Builder)","A toolkit that works with ROCH360 (Markdown Builder) and is aimed to automate multiple steps involved in converting learning videos to Markdown such as stitching videos and captions as well as creating transcripts and table of contents.

Demo Video: https://delteko365-my.sharepoint.com/:v:/g/personal/kimadriano_deltek_com/EUbFjWfecwBHpG-pianAt18BTxReBiTaSe7c_Jb5Dlg5UQ?e=bGCakL","https://education.deltek.com/web/2025_MarkdownConversion/MarkdownConversionSteps.pdf","Reserved_ImageAttachment_[5]_[Image][32]_[1be80aa19ba44e1eb7dc4302968e0746][1]_[8].png",,,,"Kim Adriano;Bert Niverba","Automation","14","11/12/2025 8:07 PM","Mon Blaza","Jed Ortega"
"Style Guide Agent for Online Help","This agent acts as an editor of online help topics that reviews and revises content based on the CLX and PCD style guides. It also follows the formatting rules listed in the style guides and generates output that can be converted to your desired format.","https://m365.cloud.microsoft/chat/?titleId=T_e7b7cf18-1078-bc46-d336-f1a3998a61ed&source=agentCenterDialog","Reserved_ImageAttachment_[5]_[Image][32]_[d4a7760b13064964b8035481b47068b7][1]_[7].png","December 9, 2025<br></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;""><ul><li>Removed prompts and instructions regarding DITA XML conversion</li></ul><div>June 19, 2026<p><ul><li>Added instructions to handle word redundancies, em-dashes, slashes in application names, and appear vs. display.</li></ul></p></div>",,,,"Copilot Agent","15","11/20/2025 10:19 AM","Jed Ortega","Angus Miranda"
