"Title","Description","Link","Image","Changelog","Video","Guide/Documentation","Innovation Expert/Partner","Solution Type"
"DLH Request Forms","Tracker and Form for the following DLH Process: 
Deltek Learning Hub Platform Issues
Deltek Learning Hub Feedback and Enhancement Requests
DLH Content Change & Upload Request","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/DLH%20Content%20Change%20%20Upload%20Request/AllItems.aspx?e=ycB2ja&CID=92dbd8d0%2Dd160%2D4586%2D951f%2Ddea1ddc9436a","Reserved_ImageAttachment_[5]_[Image][32]_[8b4f624a82154077a4158319f6b9f2be][1]_[1].png",,,,"Mon Blaza","Workflow & Tracking Solutions"
"Town Hall Questions Agent","For use around Customer Product Town Halls, particularly in analyzing questions submitted by customers, developing action plans from customer feedback, and responding to customer questions.","https://m365.cloud.microsoft/chat/?titleId=T_73681e55-fbb5-7f5c-f12e-755841b537d9&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[554dd3470ca24eeca640092bfaea7a23][1]_[1].png",,,,"Stacy Hotes-Aprato","Copilot Agent"
"Release Content Assistant ","Release Content Assistant is an AI assistant used with Copilot to help keep release information aligned across formats. It supports Release Highlights, What’s New videos, and What’s New IAGs by adapting the same source to different levels of detail, while following Deltek voice and tone. It’s assistive only and does not invent content.

","https://m365.cloud.microsoft/chat/?titleId=T_c5cdf62e-32c7-994a-bfab-cb8d75030add&source=agentCenterDialog","Reserved_ImageAttachment_[5]_[Image][32]_[cb44416d272e4f818598a8602500c3fa][1]_[1].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience-InnovationCenter/IQBqVgZJs3cZS5AOushcj6UtAYKSHqIlomqDKX6DtGPisWE?e=dbvJnm",,"Kim Adriano","Copilot Agent"
"TFS Release Notes Generator","The TFS Release Notes Generator is a web-based tool for creating release notes. It pulls work items directly from TFS, lets you review and filter them based on your team’s needs, and exports the results in Markdown or PDF format. The content comes from the Documentation tab of each work item, which is populated using the Generate Edited Description TFS plugin.","https://devkit.deltek.com/tfs-releasenotes/","Reserved_ImageAttachment_[5]_[Image][32]_[92387e9b7c2c4c08b20b0576aaaed3c6][2]_[11].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience-InnovationCenter/IQBx9jmMvIlHTpwT6Reb-TeBAXj39jWPAkYGWNeEGgh0ibA?e=Z8oea4","https://devkit.deltek.com/tfs-releasenotes/documentation.html","Ron Santos;Rochelle Domingo","Automation"
"Markdown Content Storage (GitHub)","GitHub as source repository for Markdown content starting with the source files from the OH to Markdown conversion effort.

Note: Pending access and training for the entire CE team.",,"Reserved_ImageAttachment_[5]_[Image][32]_[286e0a3080824771ac80b1c4a9f134e5][1]_[2].png",,,"https://delteko365-my.sharepoint.com/:o:/g/personal/annmargarettmendoza_deltek_com/EmSlyfUyOpdPmN-g-B_WmQgBViKvI2EcjbCzg0XnO3eyWg?e=or6emo","Ann Margarett Mendoza;Matt Briggs",
"CertQBot (CLX Exam Builder Agent)","A specialized tool for generating certification exam questions for CLX, aligned with content from the Online Help guides to ensure accuracy and relevance.","https://m365.cloud.microsoft/chat/?titleId=T_21fc6b62-6b87-b578-2fd2-82e7a620e508&source=embedded-builder&auth=2","Reserved_ImageAttachment_[5]_[Image][32]_[cf1a47d4b5b54deba7169d79b89b1f13][1]_[8].png",,"https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/20/CLX%20Exam%20Builder%20Agent%20(PPM)%20Demo.mp4","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/20/CLX%20Exam%20Builder%20Agent%20Documentation.pdf?web=1","Ray Carlo Abacan","Copilot Agent"
"Document Update Recommender","Recommends updates to OLH/Admin Guide sections to reflect updated process behavior based on transcript excerpts. Outputs only the updated section, followed by a reasoning table explaining each change at a granular level. Handles special cases for unrelated, incomplete, or conflicting transcript information.

Formerly known as OLH/Admin Guide Update Recommender (aka Mega Prompt)","https://m365.cloud.microsoft:443/chat/?titleId=T_f81e9657-2216-101a-8862-80d77b32f0c2&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[36712b63faed49208554633f0b418c8b][1]_[2].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience/IQAz64sf4v7tTKgvCSD7wgn_AWNRYSxOW6wjPtPA9LtyqZ8?e=kFhNOn",,"Jennifer Carr;Bert Niverba","Copilot Agent"
"ADO/TFS Work Item Templates","Streamlining work item creation with ADO/TFS templates

Usage
Standardizes and speeds up the creation of recurring work items by:
Saving time through the elimination of repetitive copy-paste steps
Ensuring consistency across work items
Reducing errors and omissions
Making data entry easier to use, automatically populating required fields with just one click
Promoting best practices
Allowing the use of document templates in team onboarding materials","https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/18/Work%20Item%20Templates_Final.pptx?web=1","Reserved_ImageAttachment_[5]_[Image][32]_[fa2d86ecd8574f9da5556c16b346daf4][1]_[1].png",,"https://delteko365.sharepoint.com/:v:/s/CustomerLearningExperience/IQAJNGvhCCo3QKCWZC6sJ_SqAS0v-A5qQO-5zij_2MAoR-w?e=dHB7dH",,"Danni Canibo","Automation"
"Replicon Terminology Accuracy Agent","The goal of the agent is to ensure all Replicon-related content consistently uses the correct terminology, maintaining accuracy, clarity, and brand alignment across training, documentation, and communications.
","https://m365.cloud.microsoft:443/chat/?titleId=T_189279da-6f3c-3a21-843e-7c50ecf51f36&source=embedded-builder","Reserved_ImageAttachment_[5]_[Image][32]_[50bb87d562794ab1841bffef8bb760df][1]_[2].png",,,,"Sushmitha Singh","Copilot Agent"
"Link Inspector","A toolkit for automating the testing of hyperlinks in learning assets (such as eLearning).",,"Reserved_ImageAttachment_[5]_[Image][32]_[f4b5967d07874526adb8ae53db5dce5f][1]_[5].png",,"https://delteko365.sharepoint.com/sites/CustomerLearningExperience/Lists/Showcase/Attachments/16/AutomatedLinkTestingDemo.mp4?web=1",,"(INACTIVE) Melanie Singer","Automation"
