"Title","AI Prompt","Usage Notes","Applicable To: <CLX Deliverable(s)>","Applicable To: <Tool(s)>","Applicable To: <Product(s)>","Created","Created By","ID"
"Release Notes Description Creation: PBI/Feature","<div>Structure:
<br>Headline: A clear and concise title directly addressing the main feature. Avoid technical jargon and hype.
<br>Description: 1-2 concise sentences explaining the feature&#39;s functionality and impact. Use formal language and highlight the benefit for users. Avoid marketing-style phrases and unnecessary introductory statements. Use second-person pronouns when referring to the user or users.
<br>
<br>Example:
<br>Improved Date Navigation on the Start/End Times Screen
<br>When you add or edit start and end times by day in Timesheet Hours, you can now use a date carousel on the Start/End Times screen to navigate to a different day, or to tap a different day. By reducing the number of taps needed to enter time on multiple days, the date carousel enables you to enter time more quickly.
<br>
<br>Specific Instructions:
<br>Focus on the user benefits and how the feature simplifies their workflow.
<br>Employ formal language and objective statements.
<br>Do not include phrases like &#39;This feature enhances the user experience by...&#39;.
<br>Avoid marketing hype.
<br>Aim for clarity and conciseness, using 1-4 sentences per section.
<br>Maintain a consistent and formal tone throughout the description.
<br>Use American English spelling.
<br>
<br>Additional Tips:
<br>If needed, include keywords or specific benefits to emphasize.
<br>Consider bullet points for key functionality aspects.
<br>Proofread the output for clarity, accuracy, and formality before using it.</div>","<span style=""font-size&#58;10pt;"">​​Use this prompt to generate an RN description for a PBI or feature work item.</span><br>","Release Notes","[""RN GenAI Tool""]","[""All""]","10/25/2025 8:44 AM","Mon Blaza","1"
"Release Notes Description Creation: Bug","<div>As a technical writer, your task is to enhance bug descriptions for inclusion in release notes. 
<br>Convert bug descriptions to past tense, ensuring conciseness and clarity. 
<br>Adhere to the format: &#39;When you , &#39;. For example, instead of &#39;Cancel button triggers an error,&#39; write &#39;When you clicked the Cancel button, an error displayed.&#39;
<br>Use specific action verbs to describe user actions and clearly state the observable result of the action. 
<br>Avoid technical jargon and use plain language.
<br>Do not include speech marks in the output.</div>","<span style=""font-size&#58;10pt;"">​​Use this prompt to generate an RN description for a bug.</span><br>","Release Notes","[""RN GenAI Tool""]","[""All""]","10/25/2025 2:45 PM","Mon Blaza","2"
"Release Notes Description Creation: Bug","<div>As a technical writer, your task is to enhance bug descriptions for inclusion in release notes. 
<br>Convert bug descriptions to past tense, ensuring conciseness and clarity. 
<br>Adhere to the format: &#39;When you , &#39;. For example, instead of &#39;Cancel button triggers an error,&#39; write &#39;When you clicked the Cancel button, an error displayed.&#39;
<br>Use specific action verbs to describe user actions and clearly state the observable result of the action. 
<br>Avoid technical jargon and use plain language.
<br>Do not include speech marks in the output.
<br>
<br>Display the Description, Customers Impacted, and Workaround Before Fix separately.
<br>For Customers Impacted, convert it to present tense. Otherwise, use This defect affects all customers. 
<br>For Workaround Before Fix, use Workaround Before Fix: None if it is None or blank. Otherwise, convert it to present tense. 
<br>If Additional Notes is set to None or blank, do not include it. </div>","<span style=""font-size&#58;10pt;"">​</span><span style=""font-size&#58;10pt;"">Use this prompt to generate the RN description for a bug following the 3-part or 4-part format.</span><br>","Release Notes","[""RN GenAI Tool""]","[""Cobra"",""PM Compass""]","10/25/2025 2:48 PM","Mon Blaza","3"
"Release Notes Description Creation: Bug","<div>As a technical writer, your task is to enhance bug descriptions for inclusion in release notes.</div>","<span style=""font-size&#58;10pt;"">​Use this prompt to generate the simplest RN description for a bug.</span><br>","Release Notes","[""RN GenAI Tool""]","[""Talent Management""]","10/25/2025 2:57 PM","Mon Blaza","4"
"Release Notes Description Creation: Bug","<span style=""font-family&#58;calibri;font-size&#58;10pt;"">​<span>As a technical writer, your task is to rewrite QA-provided bug descriptions into client-friendly descriptions. The goal is to clearly communicate the issue in a way that is understandable to clients, avoiding technical jargon and focusing on the user's perspective. <br></span><div>&#160;<br></div><div>Guidelines&#58; <br></div><div><ol><li>Begin with the context&#58; Start with the specific action or condition under which the issue occurs. </li><li>Describe the issue&#58; Clearly state what went wrong, focusing on the visible symptoms or error messages. </li><li>Be concise and precise&#58; Avoid unnecessary details and keep the language simple. </li><li>Use user-centric language&#58; Emphasize what the user experiences or observes. </li></ol></div><div><span style=""font-size&#58;10pt;"">Style Rules&#58;</span></div><div><ol><li>Terminology Consistency&#58;</li><ul><li>Use 'checkbox' instead of 'check box'.</li><li>Use 'selected' instead of 'checked' when referring to actions performed on checkboxes.</li><li>Use 'on' instead of 'in' when referring to tabs on forms, reports, and other UI elements where tabs exist.</li></ul><li>Formatting&#58;</li><ul><li>Use past tense to describe actions, conditions, and scenarios.</li><li>When providing an error message, use the format&#58; &quot;you received the following error message&#58; 'Error message text.'&quot;</li><li>Avoid using technical jargon; if necessary, explain terms in plain language.</li><li>Do not place UI elements in single/double quotes, such as forms, utilities, fields, tabs, buttons, checkboxes, and so on.</li><li>Do not place bug descriptions in single or double quotes</li></ul><li>Phrasing&#58;</li><ul><li>Use the phrase 'This issue occurred...' to describe the conditions under which the problem happened, if applicable.</li><li>Avoid using 'This issue seemed to happen', 'you may have noticed', or similar uncertain language.</li></ul><li>Structure&#58;</li><ul><li>Start each description with the user action that resulted in the bug. Include the location in the software where the issue occurs, if applicable.</li><li>Follow the user action with the resulting issue or error message.</li><li>Do not include additional information about the bug, including customers impacted, or any additional notes that are not relevant.</li><li>Do not include workarounds or temporary fixes/solutions.</li><li>Do not start with Description&#58;</li></ul></ol></div><div><span style=""font-size&#58;10pt;"">Examples of Bug Descriptions&#58;</span></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><span style=""font-size&#58;10pt;""><p><span style=""font-size&#58;10pt;"">UI/Display Issues&#58;</span></p></span></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Describe problems related to the user interface, such as incorrect display of information or layout issues. </li><li>Example&#58; On the Overview tab of the Projects form, the Key Project Employees section continued to display the employee's email address even when you set the security settings of the Email field to Hidden in Screen Designer. </li></ul></ul></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><p><span style=""font-size&#58;10pt;"">Incorrect Data or Calculation&#58;</span></p></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Focus on issues where data is displayed or calculated incorrectly. </li><li>Example&#58; When you provided a value in the Primary Client field for a lost project record, you were not able to save the project because a value for the Billing Client field was still required.</li></ul></ul></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><p><span style=""font-size&#58;10pt;"">Error Messages&#58;</span></p></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Include the error or warning message received and the conditions under which it appeared. </li><li>Example&#58; When you added an employee to at least two key projects records, saved the changes, and then removed and added back the employee, you received the following error message&#58; 'Employees are assigned to the same role more than once.' </li></ul></ul></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><p><span style=""font-size&#58;10pt;"">Functional Issues&#58;</span></p></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Describe failures in the functionality or expected operation of the software. </li><li>Example&#58; When you accessed the Calendar screen by clicking on the Calendar Icon and selecting 'My Calendar,' a 'Server Error&#58; 500' message displayed. This issue occurred when the calendar contained a large number of scheduled events. </li></ul></ul></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><p><span style=""font-size&#58;10pt;"">Performance Issues&#58;</span></p></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Note any delays, slowness, or unresponsiveness experienced by the user. </li><li>Example&#58; When you tried to open a large report on the Reporting tab, the page took an unusually long time to load, causing significant delays. </li></ul></ul></div></span><blockquote style=""margin&#58;0 0 0 40px;border&#58;none;padding&#58;0px;""><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><p><span style=""font-size&#58;10pt;"">Configuration or Settings Issues&#58;</span></p></div></span></blockquote><span style=""font-family&#58;calibri;font-size&#58;10pt;""><div><ul><ul><li>Highlight issues related to configuration settings or system setup. </li><li>Example&#58; When you tried to enable the 'Include Archived Projects' option on the Projects tab, the system did not apply the change, and archived projects were still excluded. </li></ul></ul></div><div><span style=""font-size&#58;10pt;"">Ensure that each description is clear, client-friendly, and devoid of overly technical terms. The aim is to inform clients of issues in a way that is easy to understand, ensuring they can quickly grasp the nature of the problem.</span></div></span>","<span style=""font-size&#58;10pt;"">​Use this prompt to generate RN description for a bug following some additional style guide rules and better examples.</span><br>","Release Notes","[""RN GenAI Tool""]","[""Vantagepoint""]","10/25/2025 3:16 PM","Mon Blaza","5"
"Performance Enablement Pre-Planning and Professional Development","<span style=""font-size&#58;10pt;"">​See <a href=""/&#58;w&#58;/r/sites/CustomerLearningExperience/_layouts/15/Doc.aspx?sourcedoc=%7b5A8199E7-ED2F-43C0-9AB0-CA0EDE8405A1%7d&amp;file=IC%20Super%20Prompt%20CLX.docx&amp;action=default&amp;mobileredirect=true"">IC Super Prompt CLX.docx</a>.<br></span><span style=""font-size&#58;10pt;"">See also&#160;<a href=""https&#58;//learning.deltek.com/bundle/AI-Prompt-Library/page/AIPromptLibrary.html#ic_super_prompt_template_universal_for_clx"" title=""IC Super Prompt Template (Universal for CLX) in DLH"">IC Super Prompt Template (Universal for CLX) in DLH</a>.</span><br>","<span style=""font-size&#58;10pt;"">As an individual contributor in CLX wanting to reflect, set goals, and plan your development, use this prompt to generate a structured plan with Wins, Goals, Development Actions, and Measures of Success.<br></span>",,"[""Copilot""]",,"10/27/2025 6:42 PM","Mon Blaza","6"
"Certification Exam Development","<span style=""font-size&#58;10pt;"">​See <a href=""/&#58;w&#58;/r/sites/CustomerLearningExperience/_layouts/15/Doc.aspx?sourcedoc=%7b744DAA8E-F4A2-446F-8793-D172E3682472%7d&amp;file=Certification%20Exam%20Prompts.docx&amp;action=default&amp;mobileredirect=true"">Certification Exam Prompts.docx</a>.</span><br>","<span style=""font-size&#58;10pt;"">Use these prompts to generate Bronze, Silver, and Gold questions, as well as image-based recommendations.</span>","Certifications","[""Copilot""]","[""All""]","10/27/2025 6:49 PM","Mon Blaza","7"
"Certification Evaluation","<span style=""font-size&#58;10pt;"">​<span>Your role is to ensure that each certification question meets the highest standards of accuracy, consistency, and relevance. The goal is to validate the question set so it is not only correct but also aligned with product terminology, cognitive rigor, and Silver-tier certification expectations.<br></span><div><br></div><div>For each question, you will&#58;<br></div><div><br></div><div>Accuracy Verification – Confirm that the correct answer is factually valid, supported by product documentation, and reflects real-world workflows.<br></div><div><br></div><div>Terminology Precision – Ensure all terms strictly follow official product language (e.g., Timesheet Template, Billing Rate Table, Approval Path, Expense Code), avoiding ambiguity or informal wording.<br></div><div><br></div><div>Cognitive Level Assessment – Map the question against Bloom’s Taxonomy (Understand, Apply, Analyze) to validate that it challenges learners appropriately for Silver-tier standards.<br></div><div><br></div><div>Relevance and Alignment – Confirm that the scenario is directly related to the certification scope and reflects practical application.<br></div><div><br></div><div>Domain Categorization – Assign each question to a clear functional domain (Timesheet, Expense, Billing, Approvals, Reporting) to ensure coverage balance.<br></div><div><br></div><div>Duplicate and Overlap Review – Identify and remove any redundant or rephrased items that reduce the assessment’s effectiveness.<br></div><div><br></div><div>Enhancement Recommendations – Suggest corrections, rewording, or adjustments to improve clarity, engagement, and instructional quality.<br></div><div><br></div><div>Document your analysis in a structured table with these columns&#58;<br></div><div>-Question<br></div><div>-Correct Answer<br></div><div>-Is the Answer Accurate?<br></div><div>-Terminology Check<br></div><div>-Bloom’s Level<br></div><div>-Domain<br></div><div>-Is the Question On-Topic?<br></div><div>-Is Duplicate?<br></div><span>-Suggested Correction (if any)</span></span><br>","<span style=""font-size&#58;10pt;"">Use this prompt to ensure that certification questions are accurate, aligned with product terminology, mapped to the right Bloom’s taxonomy level, relevant to the module, and non-duplicative.</span><br>","Certifications","[""Copilot""]","[""All""]","10/27/2025 6:56 PM","Mon Blaza","8"
"API Documentation Creation: Using YAML File as Input","<span style=""font-size&#58;10pt;"">​Using API specification, create API documentation using this file. (Attach the YAML file)</span><br>","<span style=""font-size&#58;10pt;"">Use this prompt to generate clear and structured API documentation by uploading an OpenAPI-compliant YAML file into Copilot. <br><br>This process automatically extracts endpoint details, parameters, and response formats to produce developer-friendly documentation.</span><br>","Developer Resources","[""Copilot""]","[""All""]","10/27/2025 7:00 PM","Mon Blaza","9"
"Quarterly Release Schedule Creation: Using Smartsheet Items from Prior Release","<span style=""font-size&#58;10pt;"">​Can you please use these line items to create a new set of documentation deliverables? Retain the duration for each deliverable and adjust the dates to use the start date of 11/3/2025 and an end date of 12/22/2025.</span><br>","<span style=""font-size&#58;10pt;"">Use this prompt to quickly plan quarterly release schedule of deliverables based on prior schedule's release timeline while maintaining durations and matching specific start and finish dates.</span><br>",,"[""Copilot""]","[""All""]","10/27/2025 7:03 PM","Mon Blaza","10"
